grade,hs.college,sex,gpa,exercise,job,rigorous,welcome,school.spirit,different.hs,teachers.accepting,intensity,self.perception,world.perception,recommend,prepared,hum.math,aa,transfer,studying.24,essay.time,hw,start.hw,home.size,household.size,study.home,study.school,hrs.sleep,makeup,outfit,shower,time.morning,commute,first.stress,first.period,hrs.socializing,hrs.social.media,hrs.fb,hrs.instagram,hrs.snapchat,platform,last.fb,last.instagram,last.snapchat,more.followers,hrs.parents,ninth.lunch,tenth.lunch,ninth.responsible,ninth.y2,no.hats,no.hats.feeling,hat.removed,hat.confiscated,target.bullying,friends.bullied,you.bully,teacher.bully,teacher.response,student.response,safety,environmentalist,self.confidence,physical.positive,confidence.interferes,accepted.you,attractive.a,attractive.b,sex.heartbroken,sex.angry,love.heartbroken,love.angry,marijuana,drinking.age.appropriate,ok.underage,random.drug.tests,small.marijuana,glue,drug.use,breakfast.home,breakfast.school,money.food,allowance,hunger,school.lunch,bring.lunch,buy.food,school.lunch.rating,school.lunch.healthy,veg,veg.knowledge,veg.friends,veg.consider
3-Year 1,College,Female,3.3,6,0,Yes,9,Yes,No,Yes,No,6,9,9,2,8,Yes,Yes,5,3,240,After 8:30 pm,5,9,4,1,4,No,No,Yes,35,40,No,Yes,21,24,0,12,12,Snapchat,More than a month ago / never,Past 24 hours,Past 24 hours,No,3,No,No,4,Year 2,Yes,1,Yes,No,No,No,Yes,Yes,No,Yes,4,8,6,5,No,Yes,10,10,10,10,10,10,Yes,Yes,Yes,Yes,No,No,6,No,No,15,20,8,Yes,No,4,2,2,No,6,No,6
3-Year 1,College,Female,3.8,4,0,Yes,9,Yes,No,Yes,Yes,5,6,10,10,6,Yes,No,4,3,120,Before 8:30 pm,3,4,2,0.5,8,No,Yes,No,50,60,No,Yes,11,10,1,0,1,Facebook,More than a month ago / never,More than a month ago / never,Past 24 hours,No,2,No,No,2,Year 2,Yes,5,No,No,No,No,No,No,Yes,Yes,5,5,7,7,No,Yes,5,5,9,8,10,7,Yes,No,Yes,Yes,No,No,7,Yes,No,0,0,7,No,Yes,0,1,4,No,7,Yes,1
3-Year 1,College,Male,3.1,5,0,Yes,9,No,No,Yes,Yes,8,9,8,8,6,Yes,Yes,1,3,80,Before 8:30 pm,2,5,1,1,8,No,Yes,No,80,25,No,Yes,NA,10,1,5,5,Snapchat,More than a month ago / never,More than a month ago / never,Past 24 hours,No,15,No,No,3,Year 2,Yes,3,No,No,NA,No,No,No,No,No,4,8,5,7,No,Yes,7,7,10,10,9,6,Yes,Yes,Yes,No,No,No,9,Yes,Yes,8,20,7,Yes,No,1,5,5,NA,8,No,7
3-Year 1,College,Female,2.8,6,0,Yes,8,Yes,No,No,Yes,10,10,6,3,8,No,Yes,5,4,120,After 8:30 pm,2,3,2,1,6,No,Yes,Yes,90,50,Yes,Yes,19,31,6,17,9,Instagram,Past week,Past week,Past month,No,1,Yes,Yes,5,Year 2,Yes,1,No,No,No,No,No,No,No,No,4,5,6,5,Yes,Yes,5,8,10,10,10,8,Yes,No,Yes,No,No,No,6,No,No,50,100,6,No,No,5,4,1,No,8,No,10
3-Year 1,College,Male,NA,NA,NA,No,1,No,No,No,No,1,1,1,1,1,No,No,NA,NA,NA,After 8:30 pm,NA,NA,NA,NA,NA,Yes,No,No,NA,NA,No,No,NA,NA,NA,NA,NA,NA,More than a month ago / never,More than a month ago / never,More than a month ago / never,No,NA,No,No,1,Year 2,No,1,No,No,No,No,No,No,No,No,1,1,1,1,No,No,1,1,1,1,1,1,No,No,No,No,No,No,1,No,No,NA,NA,1,No,No,NA,1,1,No,1,No,1
3-Year 1,College,Female,3,2,4,Yes,9,Yes,No,Yes,Yes,9,10,10,10,9,Yes,No,5,24,300,Before 8:30 pm,3,3,,5,7,Yes,Yes,No,90,40,Yes,Yes,28,25,9,8,8,Snapchat,More than a month ago / never,Past week,Past 24 hours,Yes,3,Yes,Yes,8,Year 2,Yes,1,Yes,No,No,Yes,No,No,No,No,5,6,7,8,No,Yes,10,8,6,1,10,5,Yes,No,Yes,No,No,No,8,Yes,No,30,30,6,No,No,4,7,8,No,9,Yes,10
3-Year 1,College,Male,3.2,5,15,Yes,7,Yes,No,Yes,Yes,8,7,8,9,1,Yes,Yes,4,4,128,After 8:30 pm,2,5,2,1,5,No,Yes,Yes,60,35,Yes,Yes,3,30,6,2,10,Snapchat,More than a month ago / never,More than a month ago / never,Past 24 hours,No,7,No,No,2,Year 2,Yes,1,Yes,No,No,Yes,Yes,No,Yes,No,3,7,8,7,No,Yes,6,6,9,6,10,6,No,Yes,Yes,Yes,No,No,2,No,Yes,5,0,8,Yes,No,2,2,6,No,6,Yes,1
3-Year 1,College,Male,3.3,1.5,0,Yes,9,Yes,No,Yes,Yes,10,7,9,9,8,Yes,Yes,2,3,60,After 8:30 pm,6,6,1,3,8,No,Yes,No,50,35,Yes,Yes,11,8,8,1,0,Facebook,Past 24 hours,Past week,More than a month ago / never,No,5,No,No,1,Year 2,No,1,Yes,No,No,No,Yes,Yes,Yes,Yes,5,8,9,8,No,Yes,4,8,10,9,8,8,Yes,Yes,Yes,No,No,No,8,Yes,No,15,20,4,Yes,No,7,5,5,No,10,Yes,1
3-Year 1,College,Male,3.3,1.5,0,Yes,9,Yes,No,Yes,Yes,10,7,9,9,8,Yes,Yes,2,3,60,After 8:30 pm,6,6,1,3,8,No,Yes,No,50,35,Yes,Yes,11,8,8,1,0,Facebook,Past 24 hours,Past week,More than a month ago / never,No,5,No,No,1,Year 2,No,1,Yes,No,No,No,Yes,Yes,Yes,Yes,5,8,9,8,No,Yes,4,8,10,9,8,8,Yes,Yes,Yes,No,No,No,8,Yes,No,15,20,4,Yes,No,7,5,5,No,10,Yes,1
3-Year 1,College,Male,3.4,2,0,Yes,7,Yes,No,Yes,Yes,8,8,7,6,9,Yes,Yes,2,3.5,60,After 8:30 pm,3,4,1,1.5,7,No,No,Yes,45,50,Yes,Yes,3.5,6,5,1,0,Facebook,More than a month ago / never,Past week,Past month,No,2,Yes,Yes,2,Year 2,Yes,1,No,No,Yes,Yes,Yes,Yes,No,No,4,6,1,1,Yes,Yes,6,6,10,9,9,9,Yes,Yes,Yes,No,No,No,5,No,No,60,0,7,No,No,5,1,5,No,9,Yes,6
